Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/15/2014 5:25:37 PM,Light,3/16/1980 5:25:09 PM,3/16/1980 5:25:27 PM,18,0.09,0.09,
1,2,9/15/2014 5:26:25 PM,Light,3/16/1980 5:26:11 PM,3/16/1980 5:26:14 PM,3,-0.06,0.03,
1,3,9/15/2014 5:27:37 PM,Light,3/16/1980 5:27:08 PM,3/16/1980 5:27:26 PM,18,0.16,0.20,
1,4,9/15/2014 5:27:59 PM,Light,3/16/1980 5:27:46 PM,3/16/1980 5:27:48 PM,2,0.03,0.23,
1,5,9/15/2014 5:29:09 PM,Light,3/16/1980 5:28:23 PM,3/16/1980 5:28:58 PM,35,0.09,0.32,
1,6,9/15/2014 5:29:25 PM,Light,3/16/1980 5:29:10 PM,3/16/1980 5:29:14 PM,4,-0.03,0.29,
1,7,9/15/2014 5:30:06 PM,Light,3/16/1980 5:29:26 PM,3/16/1980 5:29:55 PM,29,0.05,0.34,
1,8,9/15/2014 5:31:01 PM,Light,3/16/1980 5:30:07 PM,3/16/1980 5:30:51 PM,44,-0.06,0.28,
1,9,9/15/2014 5:32:38 PM,Light,3/16/1980 5:32:25 PM,3/16/1980 5:32:28 PM,3,0.04,0.33,
1,10,9/15/2014 5:38:35 PM,Light,3/16/1980 5:38:21 PM,3/16/1980 5:38:24 PM,3,0.13,0.45,
1,11,9/15/2014 5:39:24 PM,Light,3/16/1980 5:39:10 PM,3/16/1980 5:39:13 PM,3,0.12,0.57,
1,12,9/15/2014 5:40:08 PM,Light,3/16/1980 5:39:52 PM,3/16/1980 5:39:57 PM,5,0.23,0.80,
1,13,9/15/2014 5:40:24 PM,Light,3/16/1980 5:40:08 PM,3/16/1980 5:40:13 PM,5,0.05,0.85,
2,14,9/15/2014 5:48:20 PM,Light,3/16/1980 5:47:50 PM,3/16/1980 5:48:10 PM,20,-0.11,0.74,
2,15,9/15/2014 5:48:45 PM,Light,3/16/1980 5:48:31 PM,3/16/1980 5:48:34 PM,3,-0.10,0.64,
2,16,9/15/2014 5:49:45 PM,Light,3/16/1980 5:48:47 PM,3/16/1980 5:49:34 PM,47,0.11,0.75,
2,17,9/15/2014 5:50:29 PM,Light,3/16/1980 5:50:04 PM,3/16/1980 5:50:19 PM,15,-0.24,0.50,
2,18,9/15/2014 5:52:21 PM,Light,3/16/1980 5:52:06 PM,3/16/1980 5:52:10 PM,4,-0.08,0.42,
2,19,9/15/2014 5:53:00 PM,Light,3/16/1980 5:52:46 PM,3/16/1980 5:52:49 PM,3,-0.04,0.38,
2,20,9/15/2014 5:59:53 PM,Light,3/16/1980 5:58:19 PM,3/16/1980 5:59:43 PM,84,0.04,0.42,
2,21,9/15/2014 6:00:17 PM,Light,3/16/1980 5:59:55 PM,3/16/1980 6:00:07 PM,12,-0.06,0.36,
2,22,9/15/2014 6:01:08 PM,Light,3/16/1980 6:00:18 PM,3/16/1980 6:00:57 PM,39,0.04,0.40,
2,23,9/15/2014 6:01:24 PM,Light,3/16/1980 6:01:09 PM,3/16/1980 6:01:13 PM,4,0.08,0.48,
2,24,9/15/2014 6:01:40 PM,Light,3/16/1980 6:01:27 PM,3/16/1980 6:01:29 PM,2,-0.05,0.43,
2,25,9/15/2014 6:02:05 PM,Light,3/16/1980 6:01:42 PM,3/16/1980 6:01:54 PM,12,-0.11,0.32,
2,26,9/15/2014 6:03:08 PM,Light,3/16/1980 6:02:38 PM,3/16/1980 6:02:58 PM,20,-0.18,0.14,
3,27,9/15/2014 6:13:58 PM,Light,3/16/1980 6:13:29 PM,3/16/1980 6:13:47 PM,18,-0.11,0.03,
3,28,9/15/2014 6:14:22 PM,Light,3/16/1980 6:13:59 PM,3/16/1980 6:14:11 PM,12,0.03,0.06,
3,29,9/15/2014 6:14:38 PM,Light,3/16/1980 6:14:24 PM,3/16/1980 6:14:27 PM,3,0.05,0.12,
3,30,9/15/2014 6:15:10 PM,Light,3/16/1980 6:14:55 PM,3/16/1980 6:14:59 PM,4,-0.08,0.04,
3,31,9/15/2014 6:17:39 PM,Light,3/16/1980 6:17:24 PM,3/16/1980 6:17:29 PM,5,1.08,1.12,
3,32,9/15/2014 6:26:33 PM,Light,3/16/1980 6:26:13 PM,3/16/1980 6:26:23 PM,10,0.12,1.25,
3,33,9/15/2014 6:27:03 PM,Light,3/16/1980 6:26:49 PM,3/16/1980 6:26:52 PM,3,0.21,1.45,
3,34,9/15/2014 6:28:12 PM,Light,3/16/1980 6:27:58 PM,3/16/1980 6:28:01 PM,3,0.08,1.53,
3,35,9/15/2014 6:28:28 PM,Light,3/16/1980 6:28:15 PM,3/16/1980 6:28:17 PM,2,0.05,1.58,
3,36,9/15/2014 6:28:45 PM,Light,3/16/1980 6:28:31 PM,3/16/1980 6:28:34 PM,3,-0.13,1.45,
3,37,9/15/2014 6:30:25 PM,Light,3/16/1980 6:29:58 PM,3/16/1980 6:30:15 PM,17,-0.03,1.42,
4,38,9/15/2014 6:39:44 PM,Light,3/16/1980 6:39:17 PM,3/16/1980 6:39:33 PM,16,0.07,1.49,
4,39,9/15/2014 6:41:09 PM,Light,3/16/1980 6:40:57 PM,3/16/1980 6:40:59 PM,2,0.13,1.62,
4,40,9/15/2014 6:41:34 PM,Light,3/16/1980 6:41:20 PM,3/16/1980 6:41:23 PM,3,-0.06,1.56,
4,41,9/15/2014 6:47:27 PM,Light,3/16/1980 6:47:01 PM,3/16/1980 6:47:16 PM,15,-0.19,1.37,
4,42,9/15/2014 6:50:13 PM,Light,3/16/1980 6:49:50 PM,3/16/1980 6:50:02 PM,12,0.08,1.45,
4,43,9/15/2014 6:50:58 PM,Light,3/16/1980 6:50:26 PM,3/16/1980 6:50:47 PM,21,-0.03,1.42,
4,44,9/15/2014 6:52:35 PM,Light,3/16/1980 6:52:12 PM,3/16/1980 6:52:24 PM,12,-0.15,1.26,
4,45,9/15/2014 6:53:13 PM,Light,3/16/1980 6:52:59 PM,3/16/1980 6:53:03 PM,4,0.08,1.34,
4,46,9/15/2014 6:53:30 PM,Light,3/16/1980 6:53:15 PM,3/16/1980 6:53:19 PM,4,0.05,1.39,
4,47,9/15/2014 6:53:55 PM,Light,3/16/1980 6:53:30 PM,3/16/1980 6:53:44 PM,14,0.08,1.48,
4,48,9/15/2014 6:54:18 PM,Light,3/16/1980 6:54:02 PM,3/16/1980 6:54:07 PM,5,-0.06,1.42,
5,49,9/15/2014 7:05:43 PM,Dark,3/16/1980 7:05:29 PM,3/16/1980 7:05:32 PM,3,-0.10,1.31,
5,50,9/15/2014 7:07:34 PM,Dark,3/16/1980 7:07:21 PM,3/16/1980 7:07:24 PM,3,-0.10,1.21,
5,51,9/15/2014 7:20:48 PM,Dark,3/16/1980 7:20:35 PM,3/16/1980 7:20:38 PM,3,-0.19,1.02,
5,52,9/15/2014 7:21:59 PM,Dark,3/16/1980 7:20:59 PM,3/16/1980 7:21:49 PM,50,0.09,1.11,
6,53,9/15/2014 7:26:06 PM,Dark,3/16/1980 7:25:30 PM,3/16/1980 7:25:55 PM,25,-0.04,1.08,
6,54,9/15/2014 7:27:05 PM,Dark,3/16/1980 7:26:51 PM,3/16/1980 7:26:55 PM,4,0.03,1.11,
6,55,9/15/2014 7:28:43 PM,Dark,3/16/1980 7:28:27 PM,3/16/1980 7:28:32 PM,5,-0.05,1.06,
6,56,9/15/2014 7:29:11 PM,Dark,3/16/1980 7:28:56 PM,3/16/1980 7:29:00 PM,4,0.10,1.16,
6,57,9/15/2014 7:29:26 PM,Dark,3/16/1980 7:29:13 PM,3/16/1980 7:29:15 PM,2,0.04,1.19,
6,58,9/15/2014 7:30:07 PM,Dark,3/16/1980 7:29:52 PM,3/16/1980 7:29:56 PM,4,0.16,1.35,
6,59,9/15/2014 7:31:48 PM,Dark,3/16/1980 7:31:12 PM,3/16/1980 7:31:37 PM,25,0.08,1.43,
6,60,9/15/2014 7:33:24 PM,Dark,3/16/1980 7:33:10 PM,3/16/1980 7:33:13 PM,3,0.06,1.49,
6,61,9/15/2014 7:34:51 PM,Dark,3/16/1980 7:34:20 PM,3/16/1980 7:34:40 PM,20,0.04,1.52,
7,62,9/15/2014 7:48:15 PM,Dark,3/16/1980 7:47:54 PM,3/16/1980 7:48:05 PM,11,0.17,1.69,
7,63,9/15/2014 7:48:31 PM,Dark,3/16/1980 7:48:18 PM,3/16/1980 7:48:21 PM,3,-0.12,1.57,
7,64,9/15/2014 7:49:20 PM,Dark,3/16/1980 7:48:33 PM,3/16/1980 7:49:09 PM,36,-0.09,1.48,
7,65,9/15/2014 7:49:44 PM,Dark,3/16/1980 7:49:23 PM,3/16/1980 7:49:33 PM,10,-0.05,1.43,
7,66,9/15/2014 7:51:53 PM,Dark,3/16/1980 7:51:36 PM,3/16/1980 7:51:42 PM,6,0.05,1.48,
7,67,9/15/2014 8:00:30 PM,Dark,3/16/1980 7:59:38 PM,3/16/1980 8:00:19 PM,41,-0.16,1.32,
7,68,9/15/2014 8:01:46 PM,Dark,3/16/1980 8:01:24 PM,3/16/1980 8:01:35 PM,11,-0.09,1.23,
7,69,9/15/2014 8:02:58 PM,Dark,3/16/1980 8:02:35 PM,3/16/1980 8:02:48 PM,13,-0.13,1.10,
7,70,9/15/2014 8:05:40 PM,Dark,3/16/1980 8:05:17 PM,3/16/1980 8:05:30 PM,13,0.19,1.29,
8,71,9/15/2014 8:14:23 PM,Dark,3/16/1980 8:13:55 PM,3/16/1980 8:14:13 PM,18,-0.06,1.23,
8,72,9/15/2014 8:14:38 PM,Dark,3/16/1980 8:14:24 PM,3/16/1980 8:14:28 PM,4,-0.09,1.14,
8,73,9/15/2014 8:15:03 PM,Dark,3/16/1980 8:14:39 PM,3/16/1980 8:14:52 PM,13,0.06,1.20,
8,74,9/15/2014 8:15:35 PM,Dark,3/16/1980 8:15:20 PM,3/16/1980 8:15:24 PM,4,0.06,1.26,
8,75,9/15/2014 8:15:58 PM,Dark,3/16/1980 8:15:44 PM,3/16/1980 8:15:47 PM,3,0.07,1.32,
8,76,9/15/2014 8:16:30 PM,Dark,3/16/1980 8:15:59 PM,3/16/1980 8:16:20 PM,21,0.07,1.39,
8,77,9/15/2014 8:22:55 PM,Dark,3/16/1980 8:22:37 PM,3/16/1980 8:22:45 PM,8,-0.11,1.28,
8,78,9/15/2014 8:27:20 PM,Dark,3/16/1980 8:27:08 PM,3/16/1980 8:27:09 PM,1,-0.08,1.20,
8,79,9/15/2014 8:27:36 PM,Dark,3/16/1980 8:27:23 PM,3/16/1980 8:27:25 PM,2,0.04,1.25,
8,80,9/15/2014 8:27:53 PM,Dark,3/16/1980 8:27:39 PM,3/16/1980 8:27:42 PM,3,-0.06,1.18,
8,81,9/15/2014 8:28:41 PM,Dark,3/16/1980 8:28:26 PM,3/16/1980 8:28:31 PM,5,-0.05,1.14,
8,82,9/15/2014 8:29:29 PM,Dark,3/16/1980 8:28:57 PM,3/16/1980 8:29:18 PM,21,0.09,1.22,
8,83,9/15/2014 8:33:33 PM,Dark,3/16/1980 8:33:16 PM,3/16/1980 8:33:23 PM,7,-0.19,1.03,
8,84,9/15/2014 8:36:48 PM,Dark,3/17/1980 8:36:30 PM,3/17/1980 8:36:37 PM,7,-0.04,0.99,
9,85,9/15/2014 8:41:34 PM,Dark,3/17/1980 8:41:18 PM,3/17/1980 8:41:23 PM,5,-0.08,0.91,
