Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
11,1,9/19/2014 6:54:28 PM,Dark,3/20/1980 3:57:12 PM,3/20/1980 6:54:18 PM,10626,0.31,0.31,
14,2,9/19/2014 7:36:56 PM,Dark,3/20/1980 6:54:29 PM,3/20/1980 7:36:45 PM,2536,-0.05,0.26,
18,3,9/19/2014 8:54:21 PM,Dark,3/20/1980 7:36:57 PM,3/21/1980 8:54:11 PM,4634,-0.03,0.23,
20,4,9/19/2014 9:26:14 PM,Dark,3/21/1980 8:54:29 PM,3/21/1980 9:26:03 PM,1894,-0.27,-0.04,
22,5,9/19/2014 9:55:12 PM,Dark,3/21/1980 9:26:15 PM,3/21/1980 9:55:02 PM,1727,0.34,0.30,
22,6,9/19/2014 9:55:42 PM,Dark,3/21/1980 9:55:19 PM,3/21/1980 9:55:32 PM,13,0.04,0.34,
25,7,9/19/2014 10:56:53 PM,Dark,3/21/1980 10:55:21 PM,3/21/1980 10:56:43 PM,82,0.38,0.72,
26,8,9/19/2014 11:11:14 PM,Dark,3/21/1980 10:57:02 PM,3/21/1980 11:11:04 PM,842,0.21,0.93,
27,9,9/19/2014 11:26:40 PM,Dark,3/21/1980 11:11:24 PM,3/21/1980 11:26:29 PM,905,0.14,1.07,
30,10,9/20/2014 12:15:02 AM,Dark,3/21/1980 11:26:41 PM,3/21/1980 12:14:52 AM,2891,0.19,1.26,
30,11,9/20/2014 12:15:48 AM,Dark,3/21/1980 12:15:03 AM,3/21/1980 12:15:38 AM,35,0.07,1.33,
35,12,9/20/2014 1:45:29 AM,Dark,3/21/1980 12:15:55 AM,3/21/1980 1:45:18 AM,5363,0.08,1.41,
38,13,9/20/2014 2:30:39 AM,Dark,3/21/1980 1:45:45 AM,3/21/1980 2:30:29 AM,2684,-0.17,1.24,
38,14,9/20/2014 2:31:38 AM,Dark,3/21/1980 2:30:40 AM,3/21/1980 2:31:28 AM,48,0.23,1.47,
