Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/15/2014 5:25:47 PM,Light,3/16/1980 5:22:16 PM,3/16/1980 5:25:37 PM,201,-0.09,-0.09,
1,2,9/15/2014 5:39:07 PM,Light,3/16/1980 5:25:52 PM,3/16/1980 5:38:56 PM,784,0.09,0.01,
1,3,9/15/2014 5:39:21 PM,Light,3/16/1980 5:39:07 PM,3/16/1980 5:39:11 PM,4,-0.08,-0.08,
2,4,9/15/2014 5:54:33 PM,Light,3/16/1980 5:39:22 PM,3/16/1980 5:54:22 PM,900,-0.08,-0.16,
2,5,9/15/2014 5:55:53 PM,Light,3/16/1980 5:54:50 PM,3/16/1980 5:55:42 PM,52,-0.17,-0.33,
2,6,9/15/2014 5:58:01 PM,Light,3/16/1980 5:56:47 PM,3/16/1980 5:57:50 PM,63,0.15,-0.17,
3,7,9/15/2014 6:18:04 PM,Light,3/16/1980 5:58:02 PM,3/16/1980 6:17:54 PM,1192,0.05,-0.13,
6,8,9/15/2014 7:26:08 PM,Dark,3/16/1980 6:18:15 PM,3/16/1980 7:25:57 PM,4062,0.13,0.00,
7,9,9/15/2014 7:48:56 PM,Dark,3/16/1980 7:26:59 PM,3/16/1980 7:48:45 PM,1306,-0.14,-0.14,
7,10,9/15/2014 7:49:53 PM,Dark,3/16/1980 7:48:56 PM,3/16/1980 7:49:42 PM,46,0.10,-0.05,
7,11,9/15/2014 8:11:26 PM,Dark,3/16/1980 7:50:18 PM,3/16/1980 8:11:15 PM,1257,-0.12,-0.17,
8,12,9/15/2014 8:33:58 PM,Dark,3/16/1980 8:11:28 PM,3/17/1980 8:33:48 PM,1340,0.16,0.00,
9,13,9/15/2014 8:56:31 PM,Dark,3/17/1980 8:35:12 PM,3/17/1980 8:56:20 PM,1268,0.05,0.04,
9,14,9/15/2014 8:57:18 PM,Dark,3/17/1980 8:56:47 PM,3/17/1980 8:57:07 PM,20,-0.06,-0.01,
10,15,9/15/2014 9:17:19 PM,Dark,3/17/1980 8:58:42 PM,3/17/1980 9:17:09 PM,1107,0.06,0.04,
10,16,9/15/2014 9:19:14 PM,Dark,3/17/1980 9:17:20 PM,3/17/1980 9:19:03 PM,103,0.05,0.09,
10,17,9/15/2014 9:19:39 PM,Dark,3/17/1980 9:19:23 PM,3/17/1980 9:19:28 PM,5,0.07,0.16,
10,18,9/15/2014 9:20:23 PM,Dark,3/17/1980 9:19:42 PM,3/17/1980 9:20:13 PM,31,0.04,0.20,
10,19,9/15/2014 9:21:34 PM,Dark,3/17/1980 9:20:55 PM,3/17/1980 9:21:24 PM,29,0.09,0.29,
12,20,9/15/2014 10:04:17 PM,Dark,3/17/1980 9:21:37 PM,3/17/1980 10:04:06 PM,2549,-0.04,0.25,
12,21,9/15/2014 10:05:31 PM,Dark,3/17/1980 10:04:17 PM,3/17/1980 10:05:21 PM,64,0.06,0.31,
