Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/19/2014 4:01:03 PM,Light,3/20/1980 3:57:28 PM,3/20/1980 4:00:51 PM,203,-0.08,-0.08,
1,2,9/19/2014 4:03:51 PM,Light,3/20/1980 4:01:19 PM,3/20/1980 4:03:39 PM,140,-0.07,-0.16,
1,3,9/19/2014 4:05:16 PM,Light,3/20/1980 4:04:31 PM,3/20/1980 4:05:05 PM,34,0.33,0.17,
1,4,9/19/2014 4:06:16 PM,Light,3/20/1980 4:05:16 PM,3/20/1980 4:06:06 PM,50,-0.15,0.03,
1,5,9/19/2014 4:09:19 PM,Light,3/20/1980 4:06:19 PM,3/20/1980 4:09:08 PM,169,-0.21,-0.19,
2,6,9/19/2014 4:23:05 PM,Light,3/20/1980 4:09:21 PM,3/20/1980 4:22:54 PM,813,-0.24,-0.43,
2,7,9/19/2014 4:28:03 PM,Light,3/20/1980 4:23:08 PM,3/20/1980 4:27:52 PM,284,-0.10,-0.53,
2,8,9/19/2014 4:28:56 PM,Light,3/20/1980 4:28:11 PM,3/20/1980 4:28:46 PM,35,0.03,-0.49,
3,9,9/19/2014 4:36:48 PM,Light,3/20/1980 4:29:05 PM,3/20/1980 4:36:38 PM,453,-0.07,-0.56,
3,10,9/19/2014 4:40:29 PM,Light,3/20/1980 4:38:00 PM,3/20/1980 4:40:18 PM,138,0.13,-0.43,
3,11,9/19/2014 4:44:25 PM,Light,3/20/1980 4:40:36 PM,3/20/1980 4:44:15 PM,219,-0.10,-0.53,
3,12,9/19/2014 4:45:22 PM,Light,3/20/1980 4:44:42 PM,3/20/1980 4:45:12 PM,30,0.03,-0.50,
4,13,9/19/2014 4:51:44 PM,Light,3/20/1980 4:46:36 PM,3/20/1980 4:51:33 PM,297,0.09,-0.41,
4,14,9/19/2014 4:55:13 PM,Light,3/20/1980 4:53:43 PM,3/20/1980 4:55:03 PM,80,0.05,-0.36,
4,15,9/19/2014 4:57:56 PM,Light,3/20/1980 4:55:14 PM,3/20/1980 4:57:46 PM,152,0.07,-0.29,
4,16,9/19/2014 4:58:59 PM,Light,3/20/1980 4:58:06 PM,3/20/1980 4:58:49 PM,43,0.08,-0.20,
4,17,9/19/2014 5:00:38 PM,Light,3/20/1980 4:59:32 PM,3/20/1980 5:00:28 PM,56,-0.14,-0.35,
4,18,9/19/2014 5:02:51 PM,Light,3/20/1980 5:02:37 PM,3/20/1980 5:02:40 PM,3,-0.04,-0.39,
5,19,9/19/2014 5:05:59 PM,Light,3/20/1980 5:02:53 PM,3/20/1980 5:05:48 PM,175,0.17,-0.22,
5,20,9/19/2014 5:06:44 PM,Light,3/20/1980 5:06:06 PM,3/20/1980 5:06:33 PM,27,0.09,-0.13,
5,21,9/19/2014 5:14:48 PM,Light,3/20/1980 5:06:45 PM,3/20/1980 5:14:37 PM,472,-0.04,-0.17,
6,22,9/19/2014 5:22:11 PM,Light,3/20/1980 5:14:51 PM,3/20/1980 5:22:01 PM,430,0.05,-0.12,
6,23,9/19/2014 5:22:53 PM,Light,3/20/1980 5:22:20 PM,3/20/1980 5:22:42 PM,22,-0.10,-0.22,
6,24,9/19/2014 5:23:33 PM,Light,3/20/1980 5:22:54 PM,3/20/1980 5:23:22 PM,28,-0.04,-0.26,
6,25,9/19/2014 5:30:32 PM,Light,3/20/1980 5:23:37 PM,3/20/1980 5:30:22 PM,405,0.25,0.00,
6,26,9/19/2014 5:36:15 PM,Light,3/20/1980 5:31:39 PM,3/20/1980 5:36:04 PM,265,-0.05,-0.06,
6,27,9/19/2014 5:36:37 PM,Light,3/20/1980 5:36:23 PM,3/20/1980 5:36:27 PM,4,-0.04,-0.10,
7,28,9/19/2014 5:49:31 PM,Light,3/20/1980 5:49:15 PM,3/20/1980 5:49:20 PM,5,-0.09,-0.19,
7,29,9/19/2014 5:49:55 PM,Light,3/20/1980 5:49:33 PM,3/20/1980 5:49:44 PM,11,0.20,0.01,
8,30,9/19/2014 6:01:03 PM,Light,3/20/1980 5:52:59 PM,3/20/1980 6:00:52 PM,473,-0.16,-0.15,
8,31,9/19/2014 6:04:41 PM,Light,3/20/1980 6:01:03 PM,3/20/1980 6:04:30 PM,207,0.19,0.04,
8,32,9/19/2014 6:08:42 PM,Light,3/20/1980 6:05:08 PM,3/20/1980 6:08:32 PM,204,-0.20,-0.16,
8,33,9/19/2014 6:10:15 PM,Light,3/20/1980 6:08:50 PM,3/20/1980 6:10:04 PM,74,0.06,-0.09,
8,34,9/19/2014 6:10:29 PM,Light,3/20/1980 6:10:16 PM,3/20/1980 6:10:19 PM,3,-0.14,-0.23,
9,35,9/19/2014 6:12:51 PM,Light,3/20/1980 6:11:29 PM,3/20/1980 6:12:41 PM,72,0.07,-0.16,
9,36,9/19/2014 6:16:50 PM,Light,3/20/1980 6:16:36 PM,3/20/1980 6:16:39 PM,3,-0.09,-0.25,
9,37,9/19/2014 6:18:20 PM,Light,3/20/1980 6:16:59 PM,3/20/1980 6:18:09 PM,70,0.07,-0.18,
9,38,9/19/2014 6:27:41 PM,Light,3/20/1980 6:18:20 PM,3/20/1980 6:27:30 PM,550,-0.25,-0.43,
10,39,9/19/2014 6:30:15 PM,Light,3/20/1980 6:27:41 PM,3/20/1980 6:30:05 PM,144,0.08,-0.35,
10,40,9/19/2014 6:32:00 PM,Light,3/20/1980 6:30:18 PM,3/20/1980 6:31:49 PM,91,-0.14,-0.49,
10,41,9/19/2014 6:32:44 PM,Light,3/20/1980 6:32:01 PM,3/20/1980 6:32:33 PM,32,-0.16,-0.65,
10,42,9/19/2014 6:37:52 PM,Light,3/20/1980 6:32:44 PM,3/20/1980 6:37:42 PM,298,-0.05,-0.70,
10,43,9/19/2014 6:38:09 PM,Light,3/20/1980 6:37:54 PM,3/20/1980 6:37:58 PM,4,0.08,-0.62,
10,44,9/19/2014 6:38:47 PM,Light,3/20/1980 6:38:09 PM,3/20/1980 6:38:37 PM,28,0.04,-0.57,
10,45,9/19/2014 6:44:44 PM,Light,3/20/1980 6:38:48 PM,3/20/1980 6:44:33 PM,345,0.05,-0.52,
11,46,9/19/2014 6:46:26 PM,Light,3/20/1980 6:45:00 PM,3/20/1980 6:46:16 PM,76,-0.16,-0.69,
11,47,9/19/2014 6:53:09 PM,Light,3/20/1980 6:51:03 PM,3/20/1980 6:52:58 PM,115,0.12,-0.57,
12,48,9/19/2014 7:14:43 PM,Dark,3/20/1980 6:57:55 PM,3/20/1980 7:14:32 PM,997,0.51,-0.06,
12,49,9/19/2014 7:16:54 PM,Dark,3/20/1980 7:14:44 PM,3/20/1980 7:16:43 PM,119,-0.25,-0.31,
12,50,9/19/2014 7:18:30 PM,Dark,3/20/1980 7:17:28 PM,3/20/1980 7:18:19 PM,51,-0.15,-0.46,
13,51,9/19/2014 7:19:20 PM,Dark,3/20/1980 7:18:44 PM,3/20/1980 7:19:09 PM,25,0.03,-0.43,
13,52,9/19/2014 7:22:31 PM,Dark,3/20/1980 7:19:58 PM,3/20/1980 7:22:20 PM,142,-0.13,-0.56,
13,53,9/19/2014 7:24:35 PM,Dark,3/20/1980 7:23:44 PM,3/20/1980 7:24:25 PM,41,0.04,-0.52,
13,54,9/19/2014 7:25:35 PM,Dark,3/20/1980 7:24:43 PM,3/20/1980 7:25:24 PM,41,0.17,-0.35,
