Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/15/2014 5:16:02 PM,Light,3/16/1980 5:15:48 PM,3/16/1980 5:15:52 PM,4,0.21,0.21,
1,2,9/15/2014 5:20:01 PM,Light,3/16/1980 5:19:31 PM,3/16/1980 5:19:50 PM,19,-0.17,0.04,
1,3,9/15/2014 5:23:21 PM,Light,3/16/1980 5:20:28 PM,3/16/1980 5:23:09 PM,161,-0.43,-0.39,
1,4,9/15/2014 5:29:24 PM,Light,3/16/1980 5:28:27 PM,3/16/1980 5:29:13 PM,46,0.10,-0.29,
1,5,9/15/2014 5:30:25 PM,Light,3/16/1980 5:29:57 PM,3/16/1980 5:30:14 PM,17,-0.09,-0.38,
1,6,9/15/2014 5:37:43 PM,Light,3/16/1980 5:37:16 PM,3/16/1980 5:37:33 PM,17,-0.06,-0.44,
2,7,9/15/2014 5:46:51 PM,Light,3/16/1980 5:46:36 PM,3/16/1980 5:46:40 PM,4,-0.07,-0.51,
3,8,9/15/2014 6:14:57 PM,Light,3/16/1980 6:14:04 PM,3/16/1980 6:14:47 PM,43,0.37,-0.15,
3,9,9/15/2014 6:27:46 PM,Light,3/16/1980 6:27:32 PM,3/16/1980 6:27:35 PM,3,-0.08,-0.23,
3,10,9/15/2014 6:28:50 PM,Light,3/16/1980 6:28:01 PM,3/16/1980 6:28:40 PM,39,0.19,-0.04,
4,11,9/15/2014 6:40:54 PM,Light,3/16/1980 6:40:21 PM,3/16/1980 6:40:43 PM,22,0.25,0.21,
4,12,9/15/2014 6:41:39 PM,Light,3/16/1980 6:41:23 PM,3/16/1980 6:41:28 PM,5,-0.03,0.17,
4,13,9/15/2014 6:54:21 PM,Light,3/16/1980 6:52:32 PM,3/16/1980 6:54:11 PM,99,0.16,0.33,
5,14,9/15/2014 7:07:54 PM,Dark,3/16/1980 7:07:30 PM,3/16/1980 7:07:43 PM,13,0.12,0.45,
5,15,9/15/2014 7:09:07 PM,Dark,3/16/1980 7:08:49 PM,3/16/1980 7:08:56 PM,7,0.05,0.50,
