Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/19/2014 3:56:42 PM,Light,3/20/1980 3:55:38 PM,3/20/1980 3:56:32 PM,54,-0.06,-0.06,
1,2,9/19/2014 4:01:04 PM,Light,3/20/1980 4:00:50 PM,3/20/1980 4:00:53 PM,3,-0.11,-0.17,
1,3,9/19/2014 4:09:03 PM,Light,3/20/1980 4:08:33 PM,3/20/1980 4:08:52 PM,19,-0.06,-0.23,
3,4,9/19/2014 4:40:21 PM,Light,3/20/1980 4:40:02 PM,3/20/1980 4:40:10 PM,8,0.05,-0.19,
4,5,9/19/2014 4:48:01 PM,Light,3/20/1980 4:47:37 PM,3/20/1980 4:47:50 PM,13,-0.07,-0.26,
4,6,9/19/2014 4:49:47 PM,Light,3/20/1980 4:49:32 PM,3/20/1980 4:49:36 PM,4,0.06,-0.19,
4,7,9/19/2014 5:00:05 PM,Light,3/20/1980 4:59:44 PM,3/20/1980 4:59:54 PM,10,0.08,-0.11,
4,8,9/19/2014 5:02:11 PM,Light,3/20/1980 5:01:44 PM,3/20/1980 5:02:00 PM,16,0.09,-0.02,
5,9,9/19/2014 5:09:35 PM,Light,3/20/1980 5:09:13 PM,3/20/1980 5:09:24 PM,11,-0.17,-0.19,
5,10,9/19/2014 5:10:47 PM,Light,3/20/1980 5:10:24 PM,3/20/1980 5:10:36 PM,12,0.10,-0.09,
5,11,9/19/2014 5:12:19 PM,Light,3/20/1980 5:12:04 PM,3/20/1980 5:12:08 PM,4,0.16,0.07,
5,12,9/19/2014 5:16:22 PM,Light,3/20/1980 5:15:57 PM,3/20/1980 5:16:11 PM,14,0.19,0.26,
5,13,9/19/2014 5:18:21 PM,Light,3/20/1980 5:18:00 PM,3/20/1980 5:18:11 PM,11,-0.10,0.16,
5,14,9/19/2014 5:19:01 PM,Light,3/20/1980 5:18:46 PM,3/20/1980 5:18:50 PM,4,0.23,0.39,
5,15,9/19/2014 5:19:30 PM,Light,3/20/1980 5:19:16 PM,3/20/1980 5:19:19 PM,3,-0.04,0.35,
5,16,9/19/2014 5:19:54 PM,Light,3/20/1980 5:19:32 PM,3/20/1980 5:19:43 PM,11,-0.04,0.31,
6,17,9/19/2014 5:20:50 PM,Light,3/20/1980 5:20:32 PM,3/20/1980 5:20:39 PM,7,0.04,0.35,
6,18,9/19/2014 5:24:01 PM,Light,3/20/1980 5:23:43 PM,3/20/1980 5:23:50 PM,7,-0.05,0.30,
6,19,9/19/2014 5:24:40 PM,Light,3/20/1980 5:24:14 PM,3/20/1980 5:24:29 PM,15,-0.07,0.22,
6,20,9/19/2014 5:25:48 PM,Light,3/20/1980 5:25:32 PM,3/20/1980 5:25:37 PM,5,0.13,0.35,
6,21,9/19/2014 5:26:47 PM,Light,3/20/1980 5:26:09 PM,3/20/1980 5:26:37 PM,28,-0.12,0.23,
6,22,9/19/2014 5:27:19 PM,Light,3/20/1980 5:26:49 PM,3/20/1980 5:27:09 PM,20,-0.21,0.02,
6,23,9/19/2014 5:29:58 PM,Light,3/20/1980 5:29:43 PM,3/20/1980 5:29:48 PM,5,-0.21,-0.19,
6,24,9/19/2014 5:33:57 PM,Light,3/20/1980 5:33:36 PM,3/20/1980 5:33:47 PM,11,0.09,-0.10,
