Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/15/2014 5:19:57 PM,Light,3/16/1980 5:19:29 PM,3/16/1980 5:19:46 PM,17,-0.08,-0.08,
1,2,9/15/2014 5:20:48 PM,Light,3/16/1980 5:20:26 PM,3/16/1980 5:20:38 PM,12,-0.16,-0.24,
1,3,9/15/2014 5:21:19 PM,Light,3/16/1980 5:20:50 PM,3/16/1980 5:21:08 PM,18,0.20,-0.05,
1,4,9/15/2014 5:23:21 PM,Light,3/16/1980 5:21:42 PM,3/16/1980 5:23:09 PM,87,0.22,0.17,
1,5,9/15/2014 5:24:07 PM,Light,3/16/1980 5:23:43 PM,3/16/1980 5:23:56 PM,13,-0.17,0.00,
3,6,9/15/2014 6:07:29 PM,Light,3/16/1980 6:07:14 PM,3/16/1980 6:07:19 PM,5,0.09,0.09,
3,7,9/15/2014 6:08:33 PM,Light,3/16/1980 6:08:17 PM,3/16/1980 6:08:22 PM,5,0.13,0.22,
3,8,9/15/2014 6:15:50 PM,Light,3/16/1980 6:15:32 PM,3/16/1980 6:15:39 PM,7,0.06,0.28,
3,9,9/15/2014 6:16:29 PM,Light,3/16/1980 6:16:09 PM,3/16/1980 6:16:19 PM,10,-0.10,0.19,
3,10,9/15/2014 6:19:57 PM,Light,3/16/1980 6:19:42 PM,3/16/1980 6:19:46 PM,4,0.03,0.22,
3,11,9/15/2014 6:28:25 PM,Light,3/16/1980 6:28:10 PM,3/16/1980 6:28:14 PM,4,0.09,0.31,
5,12,9/15/2014 7:19:35 PM,Dark,3/16/1980 7:19:22 PM,3/16/1980 7:19:24 PM,2,-0.06,0.24,
5,13,9/15/2014 7:22:03 PM,Dark,3/16/1980 7:21:49 PM,3/16/1980 7:21:53 PM,4,0.08,0.32,
7,14,9/15/2014 8:09:18 PM,Dark,3/16/1980 8:08:55 PM,3/16/1980 8:09:07 PM,12,0.06,0.38,
