Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/15/2014 5:25:35 PM,Light,3/16/1980 5:25:08 PM,3/16/1980 5:25:25 PM,17,0.10,0.10,
1,2,9/15/2014 5:27:24 PM,Light,3/16/1980 5:26:36 PM,3/16/1980 5:27:14 PM,38,0.21,0.31,
1,3,9/15/2014 5:31:40 PM,Light,3/16/1980 5:28:18 PM,3/16/1980 5:31:30 PM,192,0.17,0.48,
1,4,9/15/2014 5:34:16 PM,Light,3/16/1980 5:31:49 PM,3/16/1980 5:34:06 PM,137,0.11,0.60,
1,5,9/15/2014 5:40:34 PM,Light,3/16/1980 5:34:22 PM,3/16/1980 5:40:23 PM,361,-0.05,0.54,
2,6,9/15/2014 5:51:06 PM,Light,3/16/1980 5:41:32 PM,3/16/1980 5:50:56 PM,564,0.20,0.74,
3,7,9/15/2014 6:28:52 PM,Light,3/16/1980 6:08:00 PM,3/16/1980 6:28:41 PM,1241,0.05,0.79,
4,8,9/15/2014 6:39:16 PM,Light,3/16/1980 6:30:23 PM,3/16/1980 6:39:05 PM,522,0.18,0.97,
4,9,9/15/2014 6:54:31 PM,Light,3/16/1980 6:44:14 PM,3/16/1980 6:54:21 PM,607,0.12,1.09,
4,10,9/15/2014 6:55:10 PM,Light,3/16/1980 6:54:48 PM,3/16/1980 6:55:00 PM,12,0.07,1.17,
5,11,9/15/2014 7:07:58 PM,Dark,3/16/1980 6:55:32 PM,3/16/1980 7:07:47 PM,735,-0.06,1.11,
5,12,9/15/2014 7:22:10 PM,Dark,3/16/1980 7:09:00 PM,3/16/1980 7:22:00 PM,780,-0.12,0.99,
6,13,9/15/2014 7:35:46 PM,Dark,3/16/1980 7:27:41 PM,3/16/1980 7:35:35 PM,474,-0.11,0.88,
6,14,9/15/2014 7:46:06 PM,Dark,3/16/1980 7:36:14 PM,3/16/1980 7:45:55 PM,581,-0.18,0.70,
