Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/19/2014 3:56:41 PM,Light,3/20/1980 3:55:42 PM,3/20/1980 3:56:31 PM,49,0.17,0.17,
1,2,9/19/2014 4:03:10 PM,Light,3/20/1980 4:00:52 PM,3/20/1980 4:03:00 PM,128,0.13,0.30,
1,3,9/19/2014 4:10:40 PM,Light,3/20/1980 4:08:34 PM,3/20/1980 4:10:30 PM,116,0.16,0.46,
2,4,9/19/2014 4:24:37 PM,Light,3/20/1980 4:22:16 PM,3/20/1980 4:24:26 PM,130,-0.14,0.32,
3,5,9/19/2014 4:32:01 PM,Light,3/20/1980 4:29:37 PM,3/20/1980 4:31:51 PM,134,-0.05,0.27,
4,6,9/19/2014 4:46:51 PM,Light,3/20/1980 4:44:18 PM,3/20/1980 4:46:41 PM,143,0.03,0.31,
4,7,9/19/2014 5:02:14 PM,Light,3/20/1980 4:59:45 PM,3/20/1980 5:02:03 PM,138,-0.14,0.17,
5,8,9/19/2014 5:09:27 PM,Light,3/20/1980 5:07:10 PM,3/20/1980 5:09:16 PM,126,-0.04,0.13,
6,9,9/19/2014 5:24:28 PM,Light,3/20/1980 5:21:52 PM,3/20/1980 5:24:17 PM,145,0.13,0.26,
6,10,9/19/2014 5:25:42 PM,Light,3/20/1980 5:25:28 PM,3/20/1980 5:25:31 PM,3,-0.08,0.18,
6,11,9/19/2014 5:32:23 PM,Light,3/20/1980 5:29:46 PM,3/20/1980 5:32:12 PM,146,0.14,0.32,
6,12,9/19/2014 5:32:49 PM,Light,3/20/1980 5:32:35 PM,3/20/1980 5:32:38 PM,3,0.03,0.35,
6,13,9/19/2014 5:36:19 PM,Light,3/20/1980 5:35:49 PM,3/20/1980 5:36:09 PM,20,-0.08,0.27,
7,14,9/19/2014 5:40:58 PM,Light,3/20/1980 5:40:44 PM,3/20/1980 5:40:47 PM,3,-0.05,0.22,
7,15,9/19/2014 5:42:04 PM,Light,3/20/1980 5:41:35 PM,3/20/1980 5:41:54 PM,19,0.07,0.29,
7,16,9/19/2014 5:49:09 PM,Light,3/20/1980 5:48:54 PM,3/20/1980 5:48:58 PM,4,0.18,0.47,
7,17,9/19/2014 5:49:26 PM,Light,3/20/1980 5:49:09 PM,3/20/1980 5:49:15 PM,6,-0.07,0.40,
7,18,9/19/2014 5:50:19 PM,Light,3/20/1980 5:50:04 PM,3/20/1980 5:50:08 PM,4,0.10,0.50,
7,19,9/19/2014 5:51:43 PM,Light,3/20/1980 5:51:19 PM,3/20/1980 5:51:32 PM,13,-0.08,0.42,
8,20,9/19/2014 5:56:27 PM,Light,3/20/1980 5:53:56 PM,3/20/1980 5:56:17 PM,141,0.08,0.50,
8,21,9/19/2014 5:56:54 PM,Light,3/20/1980 5:56:41 PM,3/20/1980 5:56:44 PM,3,0.04,0.54,
8,22,9/19/2014 5:57:59 PM,Light,3/20/1980 5:57:45 PM,3/20/1980 5:57:48 PM,3,-0.08,0.46,
8,23,9/19/2014 6:10:10 PM,Light,3/20/1980 6:09:52 PM,3/20/1980 6:09:59 PM,7,-0.03,0.43,
9,24,9/19/2014 6:11:40 PM,Light,3/20/1980 6:11:21 PM,3/20/1980 6:11:29 PM,8,-0.04,0.39,
9,25,9/19/2014 6:20:57 PM,Light,3/20/1980 6:18:41 PM,3/20/1980 6:20:46 PM,125,0.17,0.56,
10,26,9/19/2014 6:30:11 PM,Light,3/20/1980 6:29:45 PM,3/20/1980 6:30:00 PM,15,-0.04,0.52,
10,27,9/19/2014 6:36:18 PM,Light,3/20/1980 6:35:27 PM,3/20/1980 6:36:07 PM,40,0.07,0.60,
10,28,9/19/2014 6:41:36 PM,Light,3/20/1980 6:41:23 PM,3/20/1980 6:41:25 PM,2,0.15,0.75,
11,29,9/19/2014 6:52:51 PM,Light,3/20/1980 6:50:29 PM,3/20/1980 6:52:40 PM,131,0.08,0.83,
12,30,9/19/2014 7:07:24 PM,Dark,3/20/1980 7:05:03 PM,3/20/1980 7:07:13 PM,130,0.14,0.97,
12,31,9/19/2014 7:10:17 PM,Dark,3/20/1980 7:09:06 PM,3/20/1980 7:10:06 PM,60,0.04,1.01,
14,32,9/19/2014 7:42:42 PM,Dark,3/20/1980 7:42:24 PM,3/20/1980 7:42:31 PM,7,0.09,1.09,
14,33,9/19/2014 7:45:17 PM,Dark,3/20/1980 7:43:20 PM,3/20/1980 7:45:06 PM,106,0.06,1.15,
14,34,9/19/2014 7:45:39 PM,Dark,3/20/1980 7:45:24 PM,3/20/1980 7:45:28 PM,4,0.26,1.41,
14,35,9/19/2014 7:52:02 PM,Dark,3/20/1980 7:49:33 PM,3/20/1980 7:51:51 PM,138,-0.11,1.31,
15,36,9/19/2014 7:55:28 PM,Dark,3/20/1980 7:54:49 PM,3/20/1980 7:55:17 PM,28,0.16,1.47,
15,37,9/19/2014 8:04:03 PM,Dark,3/20/1980 8:01:35 PM,3/20/1980 8:03:52 PM,137,0.10,1.57,
15,38,9/19/2014 8:06:56 PM,Dark,3/20/1980 8:04:22 PM,3/20/1980 8:06:45 PM,143,-0.21,1.36,
16,39,9/19/2014 8:22:15 PM,Dark,3/20/1980 8:19:42 PM,3/20/1980 8:22:04 PM,142,0.06,1.42,
17,40,9/19/2014 8:37:29 PM,Dark,3/20/1980 8:34:45 PM,3/21/1980 8:37:19 PM,154,0.07,1.50,
18,41,9/19/2014 8:44:25 PM,Dark,3/21/1980 8:43:57 PM,3/21/1980 8:44:15 PM,18,0.19,1.69,
18,42,9/19/2014 8:48:26 PM,Dark,3/21/1980 8:48:13 PM,3/21/1980 8:48:16 PM,3,0.10,1.78,
18,43,9/19/2014 8:52:52 PM,Dark,3/21/1980 8:49:48 PM,3/21/1980 8:52:42 PM,174,0.15,1.94,
19,44,9/19/2014 9:01:22 PM,Dark,3/21/1980 9:00:41 PM,3/21/1980 9:01:11 PM,30,0.45,2.39,
19,45,9/19/2014 9:08:06 PM,Dark,3/21/1980 9:05:30 PM,3/21/1980 9:07:55 PM,145,0.05,2.44,
19,46,9/19/2014 9:10:21 PM,Dark,3/21/1980 9:09:59 PM,3/21/1980 9:10:10 PM,11,0.27,2.71,
20,47,9/19/2014 9:23:30 PM,Dark,3/21/1980 9:21:01 PM,3/21/1980 9:23:19 PM,138,0.27,2.97,
20,48,9/19/2014 9:32:22 PM,Dark,3/21/1980 9:32:02 PM,3/21/1980 9:32:12 PM,10,0.09,3.07,
20,49,9/19/2014 9:34:43 PM,Dark,3/21/1980 9:33:45 PM,3/21/1980 9:34:33 PM,48,-0.12,2.94,
21,50,9/19/2014 9:38:42 PM,Dark,3/21/1980 9:36:10 PM,3/21/1980 9:38:32 PM,142,0.06,3.00,
22,51,9/19/2014 9:54:04 PM,Dark,3/21/1980 9:51:33 PM,3/21/1980 9:53:53 PM,140,-0.13,2.87,
22,52,9/19/2014 10:03:40 PM,Dark,3/21/1980 9:59:27 PM,3/21/1980 10:03:30 PM,243,0.30,3.17,
23,53,9/19/2014 10:24:27 PM,Dark,3/21/1980 10:21:56 PM,3/21/1980 10:24:17 PM,141,-0.13,3.05,
