Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/15/2014 5:19:31 PM,Light,3/16/1980 5:19:03 PM,3/16/1980 5:19:20 PM,17,-0.15,-0.15,
1,2,9/15/2014 5:24:37 PM,Light,3/16/1980 5:24:04 PM,3/16/1980 5:24:26 PM,22,0.04,-0.12,
2,3,9/15/2014 5:47:03 PM,Light,3/16/1980 5:46:46 PM,3/16/1980 5:46:52 PM,6,-0.07,-0.19,
3,4,9/15/2014 6:25:43 PM,Light,3/16/1980 6:25:26 PM,3/16/1980 6:25:32 PM,6,-0.09,-0.28,
6,5,9/15/2014 7:46:35 PM,Dark,3/16/1980 7:46:22 PM,3/16/1980 7:46:25 PM,3,0.19,-0.08,
6,6,9/15/2014 7:47:02 PM,Dark,3/16/1980 7:46:40 PM,3/16/1980 7:46:52 PM,12,0.57,0.49,
9,7,9/15/2014 8:41:29 PM,Dark,3/17/1980 8:41:07 PM,3/17/1980 8:41:17 PM,10,-0.04,0.45,
10,8,9/15/2014 9:15:20 PM,Dark,3/17/1980 9:14:52 PM,3/17/1980 9:15:10 PM,18,0.05,0.50,
11,9,9/15/2014 9:37:04 PM,Dark,3/17/1980 9:36:46 PM,3/17/1980 9:36:53 PM,7,0.06,0.56,
12,10,9/15/2014 9:57:20 PM,Dark,3/17/1980 9:56:48 PM,3/17/1980 9:57:09 PM,21,0.10,0.66,
15,11,9/15/2014 11:25:16 PM,Dark,3/17/1980 11:25:02 PM,3/17/1980 11:25:05 PM,3,0.13,0.79,
16,12,9/15/2014 11:39:40 PM,Dark,3/17/1980 11:38:30 PM,3/17/1980 11:39:29 PM,59,0.66,1.44,
16,13,9/15/2014 11:57:54 PM,Dark,3/17/1980 11:57:35 PM,3/17/1980 11:57:43 PM,8,0.04,1.48,
16,14,9/15/2014 11:59:12 PM,Dark,3/17/1980 11:58:53 PM,3/17/1980 11:59:02 PM,9,-0.04,1.45,
17,15,9/16/2014 12:16:16 AM,Dark,3/17/1980 12:15:40 AM,3/17/1980 12:16:05 AM,25,-0.04,1.40,
18,16,9/16/2014 12:37:28 AM,Dark,3/17/1980 12:37:10 AM,3/17/1980 12:37:17 AM,7,0.05,1.45,
19,17,9/16/2014 12:57:58 AM,Dark,3/17/1980 12:57:23 AM,3/17/1980 12:57:47 AM,24,-0.06,1.39,
19,18,9/16/2014 1:16:24 AM,Dark,3/17/1980 1:15:36 AM,3/17/1980 1:16:13 AM,37,0.22,1.61,
22,19,9/16/2014 2:17:20 AM,Dark,3/17/1980 2:16:57 AM,3/17/1980 2:17:09 AM,12,-0.06,1.56,
